Reaction,k∞,Temp./K,Error Limits (Δlog k)
O+NO+M→NO₂+M,(4.9E-10)*T^-.4,200-2000,±.3
H+O₂+M→HO₂+M,[.32*T^.56+(2.9*10^4)T^-1.7]*10^-11,298 –1500,
H+NH₂+M→NH₃+M,(7.6E-10)*exp(-850/T),2000-3000,±.5
H+CH₃+M→CH₄+M,3.50E-10,300-2000,±.3
H+C₂H₂+M→C₂H₃+M,(9.2E-16)*T^(1.64)*exp(-1055/T),200-2000,±.3
H+C₂H₃+M→C₂H₄+M,1.60E-10,300,±.3
H+C₂H₄+M→C₂H₅+M,(6.6E-15)*T^(1.28)*exp(-650/T),200-1100,±.3
H+[-C₆H₅-]+M→[-C₆H₆-]+M,1.30E-10,300-1700,±.5
H+[-C₆H₆-]+M→[-C₆H₇-]+M,6.70E-11,298-500,±.15
H+[-C₆H₅-]-CH₂+M→[-C₆H₅-]-CH₃+M,4.30E-10,300-1650,±.3
H+[-C₆H₅-]-CH₃+M→[-C₆H₆-]-CH₃+M,1.80E-13,298-350,±.4
"H+[-C₆H₄-]-1,4-(CH₃)₂+M→[-C₆H₅-]-1,4-(CH₃)₂+M",3.80E-13,298,±.4
H+[-C₆H₅-]-C₂H₅+M→[-C₆H₆-]-C₂H₅+M,2.90E-13,298,±.3
OH+OH+M→H₂O₂+M,2.60E-11,200-400,±.2
OH+NH₂+M→NH₂OH+M,(3.1E-11)*T^.2,200-400,±.15
OH+[-C₆H₅-]-OH+M→[-C₆H₅-]-(OH)₂+M,(1.3E-12)*exp(914/T),300-375,±.4
"OH+[-C₆H₄-]-1,4-(CH₃)₂+M→[-C₆H₄-]-2,5-(CH₃)₂;I-OH+M",1.40E-11,298-320,±.1
CH₂+H+M→CH₃+M,(8.5E-11)*T^(.15),200-1000,±.3
CH+N₂+M→CHN₂+M,(9.6E-11)*T^(-.15),200-1000,±.3
CH+CO+M→HCCO+M,(1.7E-9)*T(-.4),200-1000,±.3
CH₃+O₂+M→CH₃O₂+M,(1.3E-15)*T^(1.2),300-800,
CH₃+NO+M→CH₃NO+M,(2.05E-11)*exp(-60/T),250-550,±.3
CH₃+CH₃+M→C₂H₆+M,6.00E-11,300-2000,±.3
CH₃+C₂H₂+M→C₃H₅+M,(1.0E-12)*exp(-3900/T) (at Pressure= 1 bar),300-600,±.5
CH₃+C₂H₄+M→C₃H₇+M,(3.5E-13)*exp(-3700/T) ,300-600,±.3
CH₃+C₂H₅+M→C₃H₈+M,6.10E-11,300-2000,±.3
CH₃+C₂H₅+M→C₂H₅CHCH₂+M,(1.55E-9)*T(-.54)*exp(-117/T),300-800,"±.2 at 300K, rising to ±.5 at 1200K"
C₂H₅+C₂H₂+M→C₂H₅CHCH+M,(5.6E-14)*exp(-3520/T),300-600,±.5
C₂H₅+C₂H₄+M→n-C₄H₉+M,(1.8E-13)*exp(-3670/T),300-600,±.5
C₂H₅+C₂H₅+M→n-C₄H₁₀+M,1.90E-11,295-1200,±.3
C₂H₅+C₃H₅+M→CH₃CH₂CH₂CHCH₂+M,(3.3E-10)*exp(66/T),500-1200,±.4
CH₂CHO₂+O₂+M→O₂CH₂CHO+M,1.90E-13,298,±.3
C₃H₅+C₃H₅+M→CH₂CHCH₂CH₂CHCH₂+M,2.30E-11,300-1000,±.2 
C₃H+2-C₄H₈+M→CH₂CHCH₂CH(CH₃)CHCH₃+M,(1.0E-13)*exp(-9620/T),600-1200,±.7
i-C₃H₇+i-C₃H₇+M→(CH₃)₂CHCH(CH₃)₂+M,6.80E-12,300-1000,"±.1 at 300K, rising to ±.3 at 1000K"
t-C₄H₉+t-C₄H₉+M→(CH₃)₃CC(CH₃)₃+M,(5.2E-8)*T^(-1.73),300-1000,"±.15 at 300K, rising to ±.3 at 1000K"
