Reaction,k∞,Temp./K,Error Limits (Δlog k),Reference
O+NO+M→NO₂+M,\left(4.9\cdot10^{-10}\right)T^{-.4},200-2000,±.3,1
H+O₂+M→HO₂+M,\left[.32T^{.^{.56}}+\left(2.9*10^{4}\right)T^{-1.7}\right]*10^{-11},298 –1500,,1
H+NH₂+M→NH₃+M,(7.6\cdot10^{-10})e^{-850/T},2000-3000,±.5,1
H+CH₃+M→CH₄+M,3.5\times10^{-10},300-2000,±.3,1
H+C₂H₂+M→C₂H₃+M,\left(9.2\cdot10^{-16}\right)T^{1.64}e^{-\frac{1055}{T}},200-2000,±.3,1
H+C₂H₃+M→C₂H₄+M,1.6\times10^{-10},300,±.3,1
H+C₂H₄+M→C₂H₅+M,\left(6.6\cdot10^{-15}\right)T^{1.28}e^{-\frac{650}{T}},200-1100,±.3,1
H+[-C₆H₅-]+M→[-C₆H₆-]+M,1.3\times10^{-10},300-1700,±.5,1
H+[-C₆H₆-]+M→[-C₆H₇-]+M,6.7\times10^{-11},298-500,±.15,1
H+[-C₆H₅-]-CH₂+M→[-C₆H₅-]-CH₃+M,4.3\times10^{-10},300-1650,±.3,1
H+[-C₆H₅-]-CH₃+M→[-C₆H₆-]-CH₃+M,1.80\times10^{-13},298-350,±.4,1
"H+[-C₆H₄-]-1,4-(CH₃)₂+M→[-C₆H₅-]-1,4-(CH₃)₂+M",3.8\times10^{-13},298,±.4,1
H+[-C₆H₅-]-C₂H₅+M→[-C₆H₆-]-C₂H₅+M,2.9\times10^{-13},298,±.3,1
OH+OH+M→H₂O₂+M,2.6\times10^{-11},200-400,±.2,1
OH+NH₂+M→NH₂OH+M,\left(3.1\cdot10^{-11}\right)T^{.2},200-400,±.15,1
OH+[-C₆H₅-]-OH+M→[-C₆H₅-]-(OH)₂+M,\left(1.3\cdot10^{-12}\right)e^{\frac{914}{T}},300-375,±.4,1
"OH+[-C₆H₄-]-1,4-(CH₃)₂+M→[-C₆H₄-]-2,5-(CH₃)₂;I-OH+M",1.4\times10^{-11},298-320,±.1,1
CH₂+H+M→CH₃+M,\left(8.5\cdot10^{-11}\right)T^{.15},200-1000,±.3,1
CH+N₂+M→CHN₂+M,\left(9.6\cdot10^{-11}\right)T^{.15},200-1000,±.3,1
CH+CO+M→HCCO+M,\left(1.7\cdot10^{-9}\right)T^{-.4},200-1000,±.3,1
CH₃+O₂+M→CH₃O₂+M,\left(1.3\cdot10^{-15}\right)T^{1.2},300-800,,1
CH₃+NO+M→CH₃NO+M,\left(2.05\cdot10^{-11}\right)e^{-\frac{60}{T}},250-550,±.3,1
CH₃+CH₃+M→C₂H₆+M,6.00\times10^{-11},300-2000,±.3,1
CH₃+C₂H₂+M→C₃H₅+M,10^{-12}e^{-\frac{3900}{T}},300-600,±.5,1
CH₃+C₂H₄+M→C₃H₇+M,\left(3.5\cdot10^{-13}\right)e^{-\frac{3700}{T}},300-600,±.3,1
CH₃+C₂H₅+M→C₃H₈+M,6.10\times10^{-11},300-2000,±.3,1
CH₃+C₂H₅+M→C₂H₅CHCH₂+M,\left(1.55\cdot10^{-9}\right)T^{-.54}e^{-\frac{117}{T}},300-800,"±.2 at 300K, rising to ±.5 at 1200K",1
C₂H₅+C₂H₂+M→C₂H₅CHCH+M,\left(5.6\cdot10^{-14}\right)e^{-\frac{3520}{T}},300-600,±.5,1
C₂H₅+C₂H₄+M→n-C₄H₉+M,\left(1.8\cdot10^{-13}\right)e^{-\frac{3670}{T}},300-600,±.5,1
C₂H₅+C₂H₅+M→n-C₄H₁₀+M,1.90\times10^{-11},295-1200,±.3,1
C₂H₅+C₃H₅+M→CH₃CH₂CH₂CHCH₂+M,\left(3.3\cdot10^{-10}\right)e^{\frac{66}{T}},500-1200,±.4,1
CH₂CHO₂+O₂+M→O₂CH₂CHO+M,1.90\times10^{-13},298,±.3,1
C₃H₅+C₃H₅+M→CH₂CHCH₂CH₂CHCH₂+M,2.30\times10^{-11},300-1000,±.2 ,1
C₃H+2-C₄H₈+M→CH₂CHCH₂CH(CH₃)CHCH₃+M,10^{-13}e^{-\frac{9620}{T}},600-1200,±.7,1
i-C₃H₇+i-C₃H₇+M→(CH₃)₂CHCH(CH₃)₂+M,6.80\times10^{-12},300-1000,"±.1 at 300K, rising to ±.3 at 1000K",1
t-C₄H₉+t-C₄H₉+M→(CH₃)₃CC(CH₃)₃+M,\left(5.2\cdot10^{-8}\right)T^{-1.73},300-1000,"±.15 at 300K, rising to ±.3 at 1000K",1
