Number,Reaction,(E/R)/K,E/kcal mol⁻¹,E/KJ mol⁻¹,A,k,n,Temp./K,Radical Source,System,Reference,Notes,Reference_Text
1,H+O₂+M→HO₂+M,,,,,1.02E-32,0,1720,H₂/O₂,,1,1,"Fenimore, C. P. and Moore, J., Combust. Flame, 22, 343, 1974."
2,H+O₂+M→HO₂+M,,,,,1.74E-32,0,2030,H₂/O₂,,1,1,"Fenimore, C. P. and Moore, J., Combust. Flame, 22, 343, 1974."
3,H+O₂+H₂→HO₂+H₂,,,,,1.20E-32,0,294,H₂/Hg*,,2,2,"Michael, J. V. and Osbourne, D. R., J. Chem. Phys., 57, 3736, 1972."
4,H+O₂+H₂→HO₂+H₂,,,,,5.90E-32,0,298,CH₄,(F.P.),3,2,"Wong, W. and Davis, D. D., Int. J. Chem. Kinet., 6, 401, 1974."
5,H+O₂+He→HO₂+He,,,,,7.42E-33,0,294,H₂/Hg*,,2,2,"Michael, J. V. and Osbourne, D. R., J. Chem. Phys., 57, 3736, 1972."
6,H+O₂+He→HO₂+He,,,,,1.86E-32,0,298,CH₄,(F.P.),3,2,"Wong, W. and Davis, D. D., Int. J. Chem. Kinet., 6, 401, 1974."
7,H+O₂+He→HO₂+He,,,,,1.48E-32,0,294,H₂ Discharge,,3a,3,"Hislop, J. R. and Wayne, R. P., J. Chem. Soc., Faraday Trans. 1, 73, 506, 1977."
8,H+O₂+Ne→HO₂+Ne,,,,,1.52E-32,0,294,H₂/Hg*,,2,2,"Michael, J. V. and Osbourne, D. R., J. Chem. Phys., 57, 3736, 1972."
9,H+O₂+Ar→HO₂+Ar,,,,,6.03E-33,0,294,H₂/Hg*,,2,2,"Michael, J. V. and Osbourne, D. R., J. Chem. Phys., 57, 3736, 1972."
10,H+O₂+Ar→HO₂+Ar,,-0.69,-2.9,6.75E-33,,,220,CH₄,(F.P.),3,2,"Wong, W. and Davis, D. D., Int. J. Chem. Kinet., 6, 401, 1974."
11,H+O₂+Ar→HO₂+Ar,,-0.69,-2.9,6.75E-33,,,360,CH₄,(F.P.),3,2,"Wong, W. and Davis, D. D., Int. J. Chem. Kinet., 6, 401, 1974."
12,H+O₂+Ar→HO₂+Ar,,,,,5.79E-30,-1,200,H₂/O₂,(S.T.),3b,4,"Slack, M. W., Combust. Flame, 28, 241, 1977."
13,H+O₂+Ar→HO₂+Ar,,,,,5.79E-30,-1,2200,H₂/O₂,(S.T.),3b,4,"Slack, M. W., Combust. Flame, 28, 241, 1977."
14,H+O₂+Kr→HO₂+Kr,,,,,1.10E-32,0,294,H₂/Hg*,,2,2,"Michael, J. V. and Osbourne, D. R., J. Chem. Phys., 57, 3736, 1972."
15,H+O₂+N₂→HO₂+N₂,,,,,5.50E-32,0,298,CH₄,(F.P.),3,2,"Wong, W. and Davis, D. D., Int. J. Chem. Kinet., 6, 401, 1974."
16,H+O₂+N₂→HO₂+N₂,,,,,1.85E-28,-1.42,200,H₂/O₂,(S.T.),3b,4,"Slack, M. W., Combust. Flame, 28, 241, 1977."
17,H+O₂+N₂→HO₂+N₂,,,,,1.85E-28,-1.42,2200,H₂/O₂,(S.T.),3b,4,"Slack, M. W., Combust. Flame, 28, 241, 1977."
18,H+O₂+O₂→HO₂+O₂,,,,,6.93E-33,0,1900,CH₄/O₂,(T),4,5,"Peeters, J. and Mahnen, G., 14th Symp. (Int.) Combust., The Combustion Institute, Pittsburgh, 1973, 133."
19,H+O₂+CH₄→HO₂+CH₄,,,,,4.20E-31,0,298,CH₄,(F.P.),3,2,"Wong, W. and Davis, D. D., Int. J. Chem. Kinet., 6, 401, 1974."
