Reactant(s),M,E/kcal mol⁻¹,E/KJ mol⁻¹,A,k,n,Temp./K,Radical Source,Reference,Notes
H+H,He,,,,1.20E-32,0,77,H₂ (T),1,2
H+H,He,,,,5.90E-33,0,298,H₂ discharge,2,2
H+H,Ar,,,,2.76E-33,0,1300,H₂/O₂ (S.T.),3,
H+H,Ar,,,,2.76E-33,0,1700,H₂/O₂ (S.T.),3,
H+H,Ar,,,,2.76E-32,0,77,H₂ (T),1,1
H+H,Ar,,,,1.78E-30,-1,1700,,4,3
H+H,Ar,,,,1.78E-30,-1,5000,,4,3
H+H,H₂,,,,1.86E-32,0,77,H₂ (T),1,1
D+D,D₂,,,,6.17E-33,0,298,D₂ (T),1,1
D+D,D₂,,,,1.52E-32,0,77,D₂ (T),1,1
H+N,M,,,,3.09E-32,0,Room Temp.,H₂/N₂ Discharges,5,2
H+N,M,,,,6.46E-32,0,Room Temp.,H₂/N₂ Discharges,5,2
H+O,M,3.9,16.3,6.32E-34,,,300,H₂/O₂/N₂ (T),6,4
H+O,M,3.9,16.3,6.32E-34,,,1050,H₂/O₂/N₂ (T),6,4
H+O→HO(²Σ⁺),Ar,11,46,2.76E-39,,,1250,H₂/O₂/Ar (S.T),6a,5
H+O→HO(²Σ⁺),Ar,11,46,2.76E-39,,,2000,H₂/O₂/Ar (S.T),6a,5
N+N,N₂,,,,1.41E-32,0,293,N₂ Discharge,7,
N+N,N₂,,,,1.41E-32,0,573,N₂ Discharge,7,
N+O,N₂,,,,1.07E-32,0,273,,8,3
N+O,N₂,,,,1.20E-32,0,196,,9,
N+O,N₂,,,,9.13E-33,0,298,,9,
O+O,Ar,-1.8,-7.5,9.13E-33,,,190,,12,3
O+O,Ar,-1.8,-7.5,9.13E-33,,,4000,,12,3
O+O,N₂,,,,1.12E-32,0,196,,9,
O+O,N₂,,,,4.79E-33,0,298,,9,
O+O,O₂,,,,5.50E-34,0,3500,O₂ (S.T.),10,
O+O,H₂O,,,,2.51E-35,1,360,O₂ Discharge,11,
O+O,H₂O,,,,2.51E-35,1,520,O₂ Discharge,11,
O+O,M,0.3,1.4,,3.72E-30,,300,,13,3
O+O,M,0.3,1.4,,3.72E-30,,8000,,13,3
O+C,Ar/CO,,,,9.13E-22,-3.08,7000,,12,"3,9"
O+C,Ar/CO,,,,9.13E-22,-3.08,14000,,12,"3,9"
S+S,H₂S,,,,2.76E-33,0,300,H₂S Discharge,16,8
F+F,He,,,,2.19E-33,0,293,F₂,13a,"6,7"
F+F,He,,,,6.03E-34,0,Room Temp.,F₂ Discharge,13b,6
F+F,Ar,,,,2.76E-34,0,1000,,14,3
F+F,Ar,,,,2.76E-34,0,2000,,14,3
F+F,Ar,,,,7.95E-35,0,295,,15,10
Cl+Cl,He,-0.3,-1.1,4.08E-33,,,205,Cl₂ (F.P.),17,11
Cl+Cl,He,-0.3,-1.1,4.08E-33,,,373,Cl₂ (F.P.),17,11
Cl+Cl,He,,,,3.89E-33,0,298,Cl₂ (F.P.),18,
Cl+Cl,He,,,,4.68E-33,0,298,Cl₂ (F.P.),18a,11a
Cl+Cl,Ne,-0.7,-2.8,3.47E-33,,,195,Cl₂ (F.P.),17,11
Cl+Cl,Ne,-0.7,-2.8,3.47E-33,,,373,Cl₂ (F.P.),17,11
Cl+Cl,Ne,,,,4.68E-33,0,298,Cl₂ (F.P.),18,
Cl+Cl,Ne,,,,4.68E-33,0,298,Cl₂ (F.P.),18a,11a
Cl+Cl,Ar,-1.8,-7.5,6.03E-34,,,200,,14,3
Cl+Cl,Ar,-1.8,-7.5,6.03E-34,,,500,,14,3
Cl+Cl,Ar,-1.8,-7.5,6.93E-34,,,195,Cl₂ (F.P.),18,
Cl+Cl,Ar,-1.8,-7.5,6.93E-34,,,373,Cl₂ (F.P.),18,
Cl+Cl,Ar,,,,2.09E-32,0,298,Cl₂ (F.P.),18,
Cl+Cl,Ar,,,,2.04E-32,0,298,Cl₂ (F.P.),18,
Cl+Cl,N₂,-1.6,-6.7,1.59E-33,,,293,Cl₂ (F.P.),17,11
Cl+Cl,N₂,-1.6,-6.7,1.59E-33,,,373,Cl₂ (F.P.),17,11
Cl+Cl,N₂,,,,4.17E-32,0,298,Cl₂ (F.P.),18,
Cl+Cl,N₂,,,,2.19E-32,0,298,Cl₂ (F.P.),18a,11a
Cl+Cl,Cl₂,-1.6,-6.7,3.47E-33,,,200,,14,3
Cl+Cl,Cl₂,-1.6,-6.7,3.47E-33,,,500,,14,3
Cl+Cl,Cl₂,,,,5.50E-32,0,298,Cl₂ (F.P.),18a,11a
Cl+Cl,CO₂,-1.5,-6.3,4.27E-33,,,293,Cl₂ (F.P.),17,11
Cl+Cl,CO₂,-1.5,-6.3,4.27E-33,,,373,Cl₂ (F.P.),17,11
Cl+Cl,CO₂,,,,1.52E-31,0,298,Cl₂ (F.P.),18,
Cl+Cl,CO₂,,,,3.32E-32,,298,Cl₂ (F.P.),18a,11a
Cl+Cl,CF₄,-1.2,-5,4.47E-33,,,293,Cl₂ (F.P.),17,11
Cl+Cl,CF₄,-1.2,-5,4.47E-33,,,373,Cl₂ (F.P.),17,11
