Reaction,E/kcal mol⁻¹,E/KJ mol⁻¹,A,k,n,Temp./K,Reaction.1,System,Reference,Notes,Additional Notes
H+O₂+M→HO₂+M,,,,1.02E-32,0.0,1720,H₂/O₂,,1,1,
H+O₂+M→HO₂+M,,,,1.74E-32,0.0,2030,H₂/O₂,,1,1,
H+O₂+H₂→HO₂+H₂,,,,1.20E-32,0.0,294,H₂/Hg*,,2,2,
H+O₂+H₂→HO₂+H₂,,,,5.90E-32,0.0,298,CH₄,(F.P.),3,2,
H+O₂+He→HO₂+He,,,,7.42E-33,0.0,294,H₂/Hg*,,2,2,
H+O₂+He→HO₂+He,,,,1.86E-32,0.0,298,CH₄,(F.P.),3,2,
H+O₂+He→HO₂+He,,,,1.48E-32,0.0,294,H₂ Discharge,,3a,3,
H+O₂+Ne→HO₂+Ne,,,,1.52E-32,0.0,294,H₂/Hg*,,2,2,
H+O₂+Ar→HO₂+Ar,,,,6.03E-33,0.0,294,H₂/Hg*,,2,2,
H+O₂+Ar→HO₂+Ar,-0.69,-2.9,6.750000000000001e-33,,,220,CH₄,(F.P.),3,2,
H+O₂+Ar→HO₂+Ar,-0.69,-2.9,6.750000000000001e-33,,,360,CH₄,(F.P.),3,2,
H+O₂+Ar→HO₂+Ar,,,,5.79E-30,-1.0,200,H₂/O₂,(S.T.),3b,4,
H+O₂+Ar→HO₂+Ar,,,,5.79E-30,-1.0,2200,H₂/O₂,(S.T.),3b,4,
H+O₂+Kr→HO₂+Kr,,,,1.10E-32,0.0,294,H₂/Hg*,,2,2,
H+O₂+N₂→HO₂+N₂,,,,5.50E-32,0.0,298,CH₄,(F.P.),3,2,
H+O₂+N₂→HO₂+N₂,,,,1.85E-28,-1.42,200,H₂/O₂,(S.T.),3b,4,
H+O₂+N₂→HO₂+N₂,,,,1.85E-28,-1.42,2200,H₂/O₂,(S.T.),3b,4,
H+O₂+O₂→HO₂+O₂,,,,6.93E-33,0.0,1900,CH₄/O₂,(T),4,5,
H+O₂+CH₄→HO₂+CH₄,,,,4.20E-31,0.0,298,CH₄,(F.P.),3,2,
H+O₂+HO→HO₂+HO,,,,5.50E-37,0.0,1103,H₂/O₂,(S.T.),5,,
H+O₂+HO→HO₂+HO,,,,1.38E-36,0.0,1475,H₂/O₂/Ar,(S.T.),6,,
H+O₂+HO→HO₂+HO,,,,5.50E-37,0.0,1903,H₂/O₂,(S.T.),5,,
H+O₂+HO→HO₂+HO,,,,1.38E-36,0.0,1100,H₂/O₂/Ar,(S.T.),6,,
H+CO+H₂→HCO+H₂,,,,7.95E-33,0.0,294,H₂/Hg*,,2,2,
H+CO+H₂→HCO+H₂,2.0,8.4,,,,298,H₂,,7,"2,6",
H+CO+H₂→HCO+H₂,2.0,8.4,,,,373,H₂,,7,"2,6",
H+CO+H₂→HCO+H₂,,,,6.32E-34,0.0,773,H₂/O₂/CO,(T),8,7,
H+CO+He→HCO+He,,,,6.17E-33,0.0,294,H₂/Hg*,,2,2,
H+CO+Ne→HCO+Ne,,,,4.79E-33,0.0,294,H₂/Hg*,,2,2,
H+CO+Ar→HCO+Ar,,,,6.03E-33,0.0,294,H₂/Hg*,,2,2,
H+CO+Kr→HCO+Kr,,,,6.93E-33,0.0,294,H₂/Hg*,,2,2,
H+SO₂+M→HSO₂+M,,,,1.29E-32,0.0,1666,H₂/O₂/N₂,,9,1,
H+SO₂+M→HSO₂+M,,,,1.29E-32,0.0,2123,H₂/O₂/N₂,,9,1,
2H+C₂N₂→2HCN,,,,1.10E-30,0.0,300,C₂N₂/H₂ Discharge,,10,,
O+O₂+N₂→O₃+N₂,,,,6.32E-34,0.0,295,NO₂/O₂,(P),11,8,
O+O₂+N₂→O₃+N₂,,,,4.68E-36,0.0,295,NO₂/O₂,(P),No source listed in book ,,
O+O₂+O₂→O₃+O₂,,,,6.32E-34,0.0,294,O₃,(T),60,,
O+CO+Ar→CO₂+Ar,,,,9.78E-36,0.0,296,CO₂,(F.P.),12,,
O+CO+Ar→CO₂+Ar,,,,1.59E-34,0.0,2100,N₂O/CO,(S.T.),13,9,
O+CO+Ar→CO₂+Ar,,,,1.59E-34,0.0,3200,N₂O/CO,(S.T.),13,9,
O+CO+N₂→CO₂+N₂,,,,2.29E-36,0.0,296,CO₂,(P),14,10,
O+CO+O₂→CO₂+O₂,,,,4.27E-34,0.0,470,,(T),15,11,
O+CO+CO→CO₂+CO,4.34,18.2,6.460000000000001e-33,,,,CO₂,(P),14,10,
O+CO+CO→CO₂+CO,4.34,18.2,6.61e-33,,,250,,,16,12,
O+CO+CO→CO₂+CO,4.34,18.2,6.61e-33,,,500,,,16,12,
O+CO+CO→CO₂+CO,,,,<1.0011477951E-34,0.0,470,,(T),15,11,
O+CO+CO→CO₂+CO,,,,4.47E-36,0.0,296,CO₂,(F.P.),12,,
O+CO+CO₂→CO₂+CO₂,,,,5.38E-36,0.0,296,CO₂,(F.P.),12,,
O+CO+CO₂→CO₂+CO₂,,,,6.17E-36,0.0,296,CO₂,(F.P.),14,10,
O+CO+CO₂→CO₂+CO₂,3.5,14.8,2.21e-33,,,254,CO₂,(F.P.),17,,
O+CO+N₂O→CO₂+N₂O,4.1,17.2,1.62e-32,,,298,N₂O/Hg*,,18,13,
O+CO+N₂O→CO₂+N₂O,2.9,12.1,4.37e-38,,,298,N₂O/Hg*,,18,"7,13",
O+CO+CO₂→CO₂+CO₂,3.5,14.8,2.21e-33,,,2996,CO₂,(F.P.),17,,
O+CO+N₂O→CO₂+N₂O,4.1,17.2,1.62e-32,,,472,N₂O/Hg*,,18,13,
O+CO+N₂O→CO₂+N₂O,2.9,12.1,4.37e-38,,,472,N₂O/Hg*,,18,"7,13",
O+CO+M→CO₂+M,,,,<5.5017163419E-34,0.0,1500,O₃,(S.T.),19,,
O+CO+M→CO₂+M,2.1,8.8,9.56e-34,,,373,,(T),20,14,
O+CO+M→CO₂+M,-2.6,-10.8,1e-35,,,409,,(T),15,15,
O+CO+M→CO₂+M,2.1,8.8,9.56e-34,,,525,,(T),20,14,
O+CO+M→CO₂+M,-2.6,-10.8,1e-35,,,502,,(T),15,15,
O+SO₂+He→SO₃+He,,,,8.33E-34,0.0,294,O₂ Discharge,,19,16,
O+SO₂+He→SO₃+He,1.4,5.9,1.07e-31,,,248,O₂ Discharge,,19,16,
O+SO₂+He→SO₃+He,1.4,5.9,1.07e-31,,,415,O₂ Discharge,,19,16,
O+SO₂+N₂→SO₃+N₂,,,,1.32E-33,0.0,294,O₂ Discharge,,19,16,
O+SO₂+N₂O→SO₃+N₂O,2.0,8.4,9.13e-32,,,392,N₂O,(P),21,17,
O+SO₂+N₂O→SO₃+N₂O,2.0,8.4,9.13e-32,,,299,N₂O,(P),21,17,
F+O₂+He→FO₂+He,,,,5.38E-33,0.0,298,F₂/O₂/HF,(F.P),21a,17a,
F+O₂+He→FO₂+He,,,,6.93E-33,0.0,293,F₂/O₂,,21b,17b,
F+O₂+Ar→FO₂+Ar,,,,8.33E-33,0.0,298,F₂/O₂/HF,(F.P),21a,17a,
