Reaction,(E/R)/K,A,k,n,Temp./K,Radical Source,System,Reference,Notes
"H + O₂ + H₂ → HO₂ + H₂
",,,3.02E-32,0,Room Temp,H₂ (Pulse-radiolysis),Direct,11,11
"H + O₂ + H₂ → HO₂ + H₂
",,,6.03E-32,0,295,H₂ (Pulse-radiolysis),Direct,32,41
H+O₂+He →  HO₂ + O₂,,,2.46E-32,0,293,"         
H₂ (Pulse-radiolysis)
",Direct,1,1
H + O₂ + O₂ →   HO₂  + O₂,,,5.79E-32,-1,200,H₂ discharge,Direct,58,"30,64"
H + O₂ + O₂ →   HO₂  + O₂,,,5.79E-32,-1,300,H₂ discharge,Direct,58,"30,64"
H + O₂ + N₂ → HO₂  + N₂,,,5.79E-32,-1,200,N/A,N/A,58,"30,64"
H + O₂ + N₂ → HO₂  + N₂,,,5.79E-32,-1,300,N/A,N/A,58,"30,64"
H + O₂ + N₂ → HO₂  + N₂,,,3.32E-32,0,425,O+H₂ → OH + H and O+OH → O₂ + H,See Notes,5,5
H + O₂ + H₂O → HO₂  + H₂O,,,8.72E-32,0,1500,CH₄/ air flame,See Notes,33,"38,42,43"
H + O₂  + M →  HO₂ + M,,,1.38E-36,0,349,NH₃/O₂ (Pulse radiolysis),See Notes,15,15
H + O₂  + M →  HO₂ + M,,,5.51E-32,-1.6,200,N/A,N/A,58,"30,52"
H + O₂  + M →  HO₂ + M,,,5.51E-32,-1.6,300,N/A,N/A,58,"30,52"
H+CO+H₂ → HCO + H₂,,,1.05E-34,0,Room Temp,H₂O/CO/H₂ (F.P),See Notes,31,"39,40"
H+CO+N₂ → HCO + N₂,,,3.99E-34,0,425,O+H₂ → OH +H ,See Notes,2,2
H+CO+Ar → HCO + Ar,,,2.69E-34,0,425,O+H₂ → OH +H ,See Notes,2,2
H+CO+CH₄→ HCO + CH₄,,,1.59E-34,0,Room Temp,H₂O/CO/CH₄ (F.P),See Notes,31,"39,40"
H+CO+CH₄→ HCO + CH₄,,,1.00E-34,0,Room Temp,H₂O/CO (F.P),See Notes,31,"39,40"
H+CO → HCO + M,,,6.46E-39,0,345,CH₄/CO (Pulse radiolysis),Relative,44,"44,69,70"
H+CO → HCO + M,,,9.34E-39,0,393,CH₄/CO (Pulse radiolysis),Relative,44,"44,69,71"
H+CO → HCO + M,,,1.62E-38,0,449,CH₄/CO (Pulse radiolysis),Relative,44,"44,69,72"
H+CO → HCO + M,2050,,,0,449,CH₄/CO (Pulse radiolysis),Relative,44,69
H+CO → HCO + M,2050,,,0,345,CH₄/CO (Pulse radiolysis),Relative,44,69
H+SO₂ + M → HSO₂ + M,,,6.03E-33,0,305,H₂/maser,Direct,56,84
D+O₂+D → DO₂ + D₂,,,2.89E-32,0,Room Temp,D₂ (Pulse Radiolysis),Direct,11,11
O+O₂+He → O₃ +He,,,2.51E-34,0,296,O₂ (Pulse Radiolysis),Direct,20,10
O+O₂+He → O₃ +He,,,3.47E-34,0,298,O₂ / He (F.P),Direct,40,53
O+O₂+Ar→ O₃ + Ar,-525,6.17E-35,,0,263,O₃ (Laser F.P) ,Direct,20,10
